terms,subtopic
The visitors are free to navigate through our website without providing any personally identifiable information if they do not want to register with us.,user information collection
"To gain access to some of our products and services, you need to register with us and obtain an account, user name, and password. ",user information collection
"If you choose to register with us, and are 18 years of age or older, we will collect your personally identifiable information such as your name, email address, and phone number.",user information collection
We do not collect more information than is absolutely necessary to allow your participation in an activity on the website.,user information collection
"We collect and analyze information about your general usage of the website, products, services, and courses and We only collect, track and analyze such information in an aggregate manner that does not personally identify you.",user information collection
"We might track your usage patterns to see what features of the website you commonly use, website traffic volume, frequency of visits, type and time of transactions, type of browser, browser language, IP address and operating system, and statistical information about how you use our products and services.",user information collection
"We do not sell your personal information to others,  specially personally identifiable Information you submit to receive information and services from our website will never be disclosed to any third party. ",how use collected information
We use this personally identifiable information to register you to access our services and verify your authority to access the courses and services.,how use collected information
We use the collected information to improve our website and to send you relevant information about our products and services which we think may be of interest to you.,how use collected information
"If you have subscribed for a service on our website, then your personally identifiable information may be used to enable us to serve you better.",how use collected information
We use the collected website information such as your usage patterns and how you access and use our products and services to help us improve our offerings and assist us in operating the website better.,how use collected information
"When you enroll in a course, we might share your personally identifiable information with instructors as part of the course information to help them provide the course to you.",how use collected information
"If you have enrolled for a course, we may seek your opinion and views in terms of testimonials to display on our website or in our social media channels. ",how use collected information
"Unless you have informed us that you do not wish to receive further information about our products and services, we may send you direct promotional mails regarding our products and services. ",how use collected information
"We use third-party advertising companies to serve ads when you visit our Web site and these companies may use aggregated information (not including your name, address, email address or telephone number) about your visits to this and other Web sites in order to provide advertisements about goods and services of interest to you.",third parties and online advertising
"We do not guarantee correctness, viability, validity and availability of information displayed on our website in the form of advertisements and do not guarantee merchantability or fitness of the advertised information for any particular purpose.",third parties and online advertising
"We declare the advertisers and their clients or allied partners are neither our agents, nor partners and do not provide guarantee for any published information on behalf of any of the advertisers and their clients or allied partners.",third parties and online advertising
"From time to time, we may update this Policy and If we do, well notify you by posting the policy on our site with a new effective date,If we make any material changes, well take reasonable steps to notify you in advance of the planned change.",changes and updates
"When you create an account on the Service, or communicate with us, we may collect personal information including your name, email address, and birthdate.",user information collection
"After you register, you may also choose to provide additional information in your profile, such as your nickname, location (city), and other personal or demographic information.",user information collection
"In addition, we may ask you for personal information at other times, such as when you contact our technical support team, send us an email, complete a user survey, or otherwise communicate with the service",user information collection
"If you decide to register through or otherwise grant access to a third-party social networking or integrated service (what we call an ï¿½Integrated Serviceï¿½), such as Facebook, Google, Clever or similar single sign-on service, may also collect Personal Information that is already associated with your Integrated Service account.ï¿½",user information collection
"You may also have the option of sharing additional information with our service through an Integrated Service, as controlled through your settings on that Integrated Service.ï¿½",user information collection
"If you choose to provide such information, during registration or otherwise, Khan Academy will treat the information as Personal Information and will use it in the ways described in this Privacy Policy.",user information collection
"We make available certain features on our Service that allow other users to provide us information about you, as example a parent or teacher may provide information relating to a Child User, such as when a parent registers an account for their Child and provide us with certain information about the Child, such as user name and age.",user information collection
"We may also receive information from third party organizations with which we partner to provide educational services, if we combine or associate information from other sources with Personal Information that we collect through our Service, we will treat the combined information as Personal Information in accordance with this Privacy Policy.",user information collection
"From time to time, may feature a special program or activity we offer in partnership with a third party.ï¿½",user information collection
"If you participate in these special programs, may collect personal information from you to facilitate those programs, as example, LearnStorm participants may be asked to provide information related to event logistics and prize awarding and processing (e.g., contact information, dietary restrictions, shirt sizes, etc.), and College Board program participants may provide information regarding study habits and test scores (e.g., the number of hours studied, modules or tests taken, scores earned, etc.).",user information collection
"We may collect usage information about your use of our Service, such as the number of problems you have attempted, the number of videos you have viewed, and the amount of time spent to complete a problem and enables us to better tailor educational experiences that are most appropriate for you.",user information collection
"We may collect and use information about your location (such as your country) or infer your approximate location based on your IP address in order to provide you with tailored educational experiences for your region, but we don't collect the precise geolocation of you or your device.",user information collection
You may be able to change the settings on your computer or mobile device to prevent it from providing us with any location information.,user information collection
"If you donate to our service via PayPal, we may obtain your name and mailing address to send a thank you note, or if you apply for a job with Khan Academy via an online recruiting site, we will obtain the information you provide in your application for that purpose.",user information collection
"To provide a personalized learning and high-quality experience for our users, we may use various technologies that automatically record certain technical information from your browser or device when you visit our website, read our emails, use our Service or otherwise engage with us.",user information collection
"This information is typically collected through a variety of tracking technologies, including cookies, web beacons, Flash objects, log files, and similar technology (collectively, ï¿½tracking technologiesï¿½).ï¿½",user information collection
"This information is typically collected through a variety of tracking technologies, including cookies, web beacons, Flash objects, log files, and similar technology (collectively, ï¿½tracking technologiesï¿½) and tracking technologies cookies collect information about how you use the Service (e.g., the pages you view, the links you click, and other actions you take on the Service), information about your browser and online usage patterns (e.g., Internet Protocol (ï¿½IPï¿½) address, browser type, browser language, referring / exit pages and URLs, pages viewed, whether you opened an email, links clicked), and information about the device(s) you use to access the Service (e.g., mobile device identifier, mobile carrier, device type, model and manufacturer, mobile device operating system brand and model, and whether you access the Service from multiple devices)",user information collection
"We may collect analytics data, or use third-party analytics tools such as Google Analytics, to help us measure traffic and usage trends for the Sites and to understand more about the demographics of our users.ï¿½",user information collection
"We may also work with third party partners to employ technologies, including the application of statistical modeling tools, which permit us to recognize and contact you across multiple devices",user information collection
"Although we do our best to honor the privacy preferences of our users, we are unable to respond to Do Not Track signals set by your browser at this time.",user information collection
"We use or may use the data collected through tracking technologies to better display our website, to save you time, to provide better technical support, for promotional purposes, and to track website usage.",user information collection
"Most browsers are initially set up to accept cookies, but you can reset your browser to refuse all cookies or to indicate when a cookie is being sent.",user information collection
"However, some features and services (particularly those that require you to sign-in) may not function properly if your cookies are disabled.ï¿½",user information collection
You may also set your email options to prevent the automatic downloading of images that may contain technologies that would allow us to know whether you have accessed our email and performed certain functions with it.,user information collection
"Deleting cookies does not delete Local Storage Objects (LSOs) such as Flash objects and HTML5 and  if you choose to delete Flash objects from our sites, then you may not be able to access and use all or part of the sites or benefit from the information and services offered.",user information collection
"When users come to our Site, we may track, collect, and aggregate information indicating, among other things, which pages of our Site were visited, the order in which they were visited, when they were visited, and which hyperlinks were clicked.ï¿½",user information collection
"We also collect information from the URLs from which you linked to our Site, collecting such information may involve logging the IP address, operating system and browser software used by each user of the Site and we may be able to determine from an IP address a userï¿½s Internet Service Provider and the geographic location of his or her point of connectivity.",user information collection
"We collect Personally Identifiable Information that you provide to us when you register for an account, update or change information for your account, purchase products or Services, complete a survey, sign-up for email updates, participate in our public forums, send us email messages, and/or participate in Content Offerings or other Services on our Site.",user information collection
"We may use the Personally Identifiable Information that you provide to respond to your questions, provide you the specific Content Offering and/or Services you select, send you updates about Content Offerings or other Coursera events, and send you email messages about Site maintenance or updates.",user information collection
"If you register for an account on our Site, you may be required to provide us with Personally Identifiable Information such as your name and email address.",user information collection
"our service may offer you the ability to receive updates either via email or by posting on portions of the Site only accessible to registered users. In order to subscribe to these Services, you may be required to provide us with Personally Identifiable Information such as your name and email address.",user information collection
"our service may offer public forums from time to time (the ""Forums"") where you can share comments and thoughts and if order to participate in the Forums, you may be required to register with us and/or provide us with Personally Identifiable Information such as your name and email address.ï¿½",user information collection
"Please keep in mind that information you post or make available in Forums will be publicly available and you should not include any Personally Identifiable Information or other information of a personal or sensitive nature, whether relating to you or another person, in a Forum post and please also reference our Terms of Use and our Code of Conduct and additional information about proper use of our Forums.",user information collection
"our service offers users the opportunity to participate in an Content Offerings on or through the Sites and if you desire to participate in a Content Offering, you will be asked to provide us with certain information necessary to conduct such a Content Offering and this information may include, among other things, your name and email address.",user information collection
"If you participate in a Content Offering, we may collect from you certain student-generated content, such as assignments you submit to instructors, peer-graded assignments, and peer grading student feedback and we also collect course data, such as student responses to in-video quizzes, standalone quizzes, exams, and surveys.ï¿½",user information collection
"You should not include any Personally Identifiable Information or other information of a personal or sensitive nature, whether relating to you or another person, on assignments, exams, or surveys, except for information required to participate or submit such assignments, exams, or surveys.",user information collection
"our service may offer you the ability to verify your identity for select Services and in order to enroll for these Services, you may be required to provide us or our third-party identity verification vendor with Personally Identifiable Information such as your name, address, date of birth, a headshot taken using a webcam, and a photo identification document and additionally, if you apply for financial aid in connection with these Services, you may be required to provide information regarding your income.",user information collection
We may receive Personally Identifiable Information when you send us an email message or otherwise contact us.,user information collection
"We may receive Personally Identifiable Information when you access or log-in to a third party site, e.g., Facebook, from our Sites and this may include the text and/or images of your Personally Identifiable Information available from the third party site.",user information collection
We may receive Personally Identifiable Information when you provide information in response to a survey operated by us or a Content Provider.,user information collection
"To create an account you need to provide data including your name, email address and/or mobile number, and a password and If you register for a premium Service, you will need to provide payment (e.g., credit card) and billing information.",user information collection
"You haveï¿½choicesï¿½about the information on your profile, such as your education, work experience, skills, photo,ï¿½city or areaï¿½and endorsements.",user information collection
ï¿½Some Members may choose to complete a separateï¿½ProFinderï¿½profile.,user information collection
"You donï¿½t have to provide additional information on your profile; however, profile information helps you to get more from our Services, including helping recruiters and business opportunities find you. Itï¿½s your choice whether to includeï¿½sensitive informationï¿½on your profile and to make that sensitive information public.",user information collection
Please do not post or add personal data to your profile that you would not want to be publicly available.,user information collection
"We collect personal data from you when you provide, post or upload it to our Services, such as when you fill out a form, (e.g., with demographic data orï¿½salary), respond to a survey, or submit a resume or fill out a job application on our Services.ï¿½",user information collection
"If you opt to import your address book, we receive your contacts (including contact information your service provider(s) or app automatically added to your address book when you communicated with addresses or numbers not already in your list).",user information collection
"If you sync your contacts or calendars with our Services, we will collect your address book and calendar meeting information to keep growing your network by suggesting connections for you and others, and by providing information about events, e.g. times, places, attendees and contacts.",user information collection
"You donï¿½t have to post or upload personal data; though if you donï¿½t, it may limit your ability to grow and engage with your network over our Services.",user information collection
"You and others may post content that includes information about you (as part of articles, posts, comments, videos) on our Services.ï¿½",user information collection
"We also may collect public information about you, such as professional-related news and accomplishments, and make it available as part of our Services, including, as permitted by your settings, in notifications to others",user information collection
"We receive personal data (including contact information) about you when others import or sync their contacts or calendar with our Services, associate their contacts with Member profiles, scan and upload business cards, or send messages using our Services (including invites or connection requests).ï¿½",user information collection
"ï¿½If you or others opt-in to sync email accounts with our Services, we will also collect ï¿½email headerï¿½ information that we can associate with Member profiles.",user information collection
"We receive personal data (e.g., your job title and work email address) about you when you use the services of our customers and partners, such as employers or prospective employers and applicant tracking systems providing us job application data.",user information collection
"We receive data about you when you use some of the other services provided by us or ourï¿½affiliates, including Microsoft, as example, you may choose to send us information about your contacts in Microsoft apps and services, such as Outlook, for improved professional networking activities on our Services.",user information collection
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology, such as when you view or click on content (e.g., learning video) or ads (on or off our sites and apps), perform a search, install or update one of our mobile apps, share articles or apply for jobs.",user information collection
"We use log-ins, cookies,ï¿½device informationï¿½and internet protocol (ï¿½IPï¿½) addresses to identify you and log your use.",user information collection
"we use cookies and similar technologies (e.g., pixels and ad tags) to collect data (e.g., device IDs) to recognize you and your device(s) on, off and across different?services and devices where you have engaged with our Services.?",user information collection
"We also allow some others to use cookies as described in our Cookie Policy and if?you are outside the Designated Countries, we also collect (or rely on others who collect) information about your device where?you have not engaged with our Services (e.g., ad ID, IP address, operating system and browser information) so we can provide our Members with relevant ads and better understand their effectiveness.",user information collection
"When you visit or leave our Services (including some plugins and our cookies or similar technology on the sites of others), we receive the URL of both the site you came from and the one you go to and the time of your visit.",user information collection
"We also get information about your network and device (e.g., IP address, proxy server, operating system, web browser and add-ons, device identifier and features, cookie IDs and/or ISP, or your mobile carrier).",user information collection
"If you use our Services from a mobile device, that device will send us data about your location based on your phone settings and we will ask you to opt-in before we use GPS or otherï¿½toolsï¿½to identify your precise location.",user information collection
"We collect information about you when you send, receive, or engage with messages in connection with our Services as example, if you get a LinkedIn connection request, we track whether you have acted on it and will send you reminders",user information collection
"We also useï¿½automatic scanningï¿½technology on messages to support and protect our site as example, we use this technology to suggest possible responses to messages and to manage or block content that violates our User Agreement orï¿½Professional Community Policiesï¿½from our Services.",user information collection
"Others buying our Services for your use, such as your employer or your school, provide us with personal data about you and your eligibility to use the Services that they purchase for use by their workers, students or alumni.",user information collection
"We receive information about your visits and interaction with services provided by others when you log-in with LinkedIn or visit othersï¿½ services that include some of our plugins (such as ï¿½Apply with LinkedInï¿½) or our ads, cookies or similar technologies",user information collection
"we use the information you provide or that we collect to operate, maintain, enhance, and provide all of the features of our Service.",how use collected information
"We use the information to personalize your experience while using the Service, including on various devices you may use to access the Service, for instance, we remember your recent activity so we can recommend the most appropriate content for you on your next visit and provide personalized learning experiences.",how use collected information
We use your information to communicate with you about your account and respond to inquiries.ï¿½,how use collected information
"We may also use your Personal Information to provide you with information about  features, services and other offerings that may be of interest to you.",how use collected information
"we use all of the information that you provide or that we collect from users to understand and analyze the usage trends, learning behaviors, and preferences of our users, to improve the way the Service works and looks, and to create new features and functionality.",how use collected information
"We may also use information to maintain, develop, support and improve our Service and other educational products and services.",how use collected information
"We use your information to enable your participation in programs or features we may offer in partnership with third parties, to the extent you wish to participate in such programs.",how use collected information
"For personal data subject to the European Union General Data Processing Regulations (ï¿½GDPRï¿½), we rely on several legal bases to process the data.",how use collected information
The processing is necessary to perform our contractual obligations in our Terms of Service or other contracts with you (such as to provide you the Service as described in our Terms of Service);,how use collected information
"You have given your prior consent, which you may withdraw at any time (such as for marketing purposes or other purposes we obtain your consent for from time to time);",how use collected information
"The processing is necessary to comply with a legal obligation, a court order or to exercise or defend legal claims;",how use collected information
"The processing is necessary for the purposes of our legitimate interests, such as in improving, personalizing, and developing the Service, marketing the Service, such as new features or products that may be of interest, and promoting safety and security as described above.",how use collected information
"We use information relating to your use of the Site to build higher quality, more useful Services by performing statistical analyses of the collective characteristics and behavior of our users, and by measuring demographics and interests regarding specific areas of our Site and we may also use this information to ensure the security of our Services and the Site.",how use collected information
"ï¿½Except as set forth in this Privacy Notice or as specifically agreed to by you, we will not disclose any of your Personally Identifiable Information.ï¿½",how use collected information
"We use Personally Identifiable Information which you provide to us in order to allow you to access and use the Site and in order to provide any information, products, or Services that you request from us.",how use collected information
"We may use Personally Identifiable Information to provide technical support to you, where required, and to ensure the security of our Services and the Site.",how use collected information
"We use Personally Identifiable Information collected when you sign-up for our various email or update services to send you the messages in connection with the Site or Content Offerings and we may also archive this information and/or use it for future communications with you, where we are legally entitled to do so.",how use collected information
"You should not post any Personally Identifiable Information or other information of a personal or sensitive nature, whether relating to you or another person, within a Forum post, if you choose to post Personally Identifiable Information, such Personally Identifiable Information may be collected during your use of the Forums, we may publish this information via extensions of our Platform that use third-party services, like mobile applications and we reserve the right to reuse Forum posts that contain Personally Identifiable Information in future versions of the Content Offerings, and to enhance future Content Offerings and we may archive this information and/or use it for future communications with you and/or your designee(s), and/or provide it to the Content Provider, business partner, or the instructor(s) associated with the courses you have taken and we may also use or publish posts submitted on the Forums without using Personally Identification Information.",how use collected information
"We use the Personally Identifiable Information that we collect from you when you participate in a Content Offering through the Site for processing purposes, including but not limited to tracking attendance, progress, and completion of the Content Offerings.",how use collected information
"We may also use the information generated when taking a Content Offering or using the Services for predictive analysis of your performance in the Content Offerings and also, we may archive this information and/or use it for future communications with you, where we are legally entitled to do so.",how use collected information
"ï¿½For Services that require identity verification, we may use the Personally Identifiable Information that we collect for verifying your identity, and for authenticating that submissions made on the Site were made by you and this Service may be provided through a third-party identity verification vendor and your photo identification document will be deleted after successful verification of your profile information.",how use collected information
"When you send us an email message or otherwise contact us, we may use the information provided by you to respond to your communication and/or as described in this Privacy Notice.ï¿½",how use collected information
"We may also archive this information and/or use it for future communications with you where we are legally entitled to do so where we send you emails, we may track the way that you interact with these emails (such as when you open an email or click on a link inside an email) and we use this information for the purposes of optimizing and better tailoring our communications to you.",how use collected information
"We use various service providers, vendors and contractors (collectively, ""Contractors"") to assist us in providing our Services to you.",how use collected information
"Our Contractors may have limited access to your Personally Identifiable Information in the course of providing their products or services to us, so that we in turn can provide our Services to you and these Contractors may include vendors and suppliers that provide us with technology, services, and/or content related to the operation and maintenance of the Site or the Content Offerings.",how use collected information
ï¿½Access to your Personally Identifiable Information by these Contractors is limited to the information reasonably necessary for the Contractor to perform its limited function for us.,how use collected information
"We also may share your Personally Identifiable Information when we believe it is appropriate to investigate, prevent, or take action regarding illegal or suspected illegal activities; to protect and defend the rights, property, or safety  of our service, the Site, our users, customers, or others; and in connection with our Terms of Use and other agreements.",how use collected information
"ï¿½If we receive any Personally Identifiable Information related to the extent to which you use designated e-Readers to access our materials, we may archive it, and use it for research, business, or other purposes",how use collected information
"How we use your personal data will depend on which Services you use, how you use those Services and the choices you make in yourï¿½settings.",how use collected information
"We use data about you (such as your profile, profiles you have viewed or data provided through address book uploads or partner integrations) to help others find your profile, suggest connections for you and others (e.g. Members who share your contacts or job experiences) and enable you to invite others to become a Member and connect with you.ï¿½",how use collected information
"We will contact you through email, mobile phone, notices posted on our websites or apps, messages to your LinkedIn inbox, and other ways through our Services, including text messages and push notifications.ï¿½",how use collected information
"Our Services allow you to collaborate with colleagues, search for potential clients, customers, partners and others to do business with. ",how use collected information
"Our Services allow you to communicate with other Members and schedule and prepare meetings with them and if yourï¿½settingsï¿½allow, we scan messages to provide ï¿½botsï¿½ or similar tools that facilitate tasks such as scheduling meetings, drafting responses, summarizing messages or recommending next steps.",how use collected information
we take great care to protect the information you provide us and we do not rent or sell Personal Information that we collect from users with third parties.,share or transfer data
